,strategy_cad,SPY_cad
2023-01-31,999988.9435343451,1067380.9231883744
2023-02-01,1002182.147711626,1078724.8040863199
2023-02-02,991726.2972442416,1094427.7894109248
2023-02-03,990540.5292752526,1082795.016472055
2023-02-06,995661.9725449685,1076177.6658003912
2023-02-07,1000421.1451370002,1090252.5982252974
2023-02-08,998159.901467496,1078330.9332455038
2023-02-09,996217.9833603168,1068982.691319856
2023-02-10,1001556.0811984646,1071477.3402058387
2023-02-13,1009606.6719053208,1084055.4031626666
2023-02-14,1006104.5109712553,1083556.5535219586
2023-02-15,1013692.345268211,1087075.266594063
2023-02-16,990341.0456098255,1072107.5335511444
2023-02-17,992172.8521419646,1069429.1316971064
2023-02-21,976155.3433924331,1047975.3916871215
2023-02-22,976268.9885862435,1046531.1718919664
2023-02-23,978169.1406138522,1052098.0934728028
2023-02-24,968779.618368596,1040859.1913747495
2023-02-27,969696.9247107815,1044404.1892150712
2023-02-28,968072.9209638621,1040544.0947020967
2023-03-01,968813.6666004432,1036552.6564845245
2023-03-02,968181.1447751251,1044614.2269513436
2023-03-03,975726.4492455099,1061367.5612302874
2023-03-06,980563.3876878151,1062102.8135119737
2023-03-07,965100.4850440678,1045822.124242009
2023-03-08,957931.0579673293,1047529.0314463595
2023-03-09,941511.9540058221,1028202.2741132698
2023-03-10,923913.8477346082,1013365.8847749487
2023-03-13,902462.7515154056,1011921.5848433052
2023-03-14,914945.578530501,1028648.7144905203
2023-03-15,896874.6255152945,1022215.1969233999
2023-03-16,903840.2477437059,1040150.143724792
2023-03-17,881565.6749119586,1024079.5723275883
2023-03-20,895077.931044881,1033926.7440304327
2023-03-21,909414.9551191078,1047502.7466781422
2023-03-22,891358.636246186,1029646.4939084249
2023-03-23,884937.0571122279,1032430.0348353315
2023-03-24,885482.8543017977,1039204.8537068334
2023-03-27,894221.5524869203,1041148.0032791852
2023-03-28,893500.175283848,1038810.9828660174
2023-03-29,901647.1336422431,1053909.9794770454
2023-03-30,906688.761283666,1060080.8897714587
2023-03-31,914852.4816398898,1075022.3380461603
2023-04-03,913483.8869557977,1079118.7550636244
2023-04-04,911362.6821827033,1073131.6778737546
2023-04-05,906009.6299129985,1070321.932315119
2023-04-06,905900.105514307,1074497.1235007464
2023-04-10,907169.4776180789,1075599.9618550315
2023-04-11,907421.3279446065,1075888.8538959555
2023-04-12,906383.620159799,1071503.5448375673
2023-04-13,907336.1919733341,1085736.0255987998
2023-04-14,910073.9189354876,1083083.8283764909
2023-04-17,914614.5859176461,1086970.2076576825
2023-04-18,916534.0583870895,1087679.1751711515
2023-04-19,918008.1525312075,1087495.4222030963
2023-04-20,915195.4053397761,1081560.8344131724
2023-04-21,917799.245451241,1082401.145631239
2023-04-24,916475.863410083,1083530.2687537414
2023-04-25,900303.4639029098,1066330.494097547
2023-04-26,897596.140513551,1061813.9214710495
2023-04-27,903227.7095287618,1082952.5648083817
2023-04-28,906037.2203169647,1092195.747797649
2023-05-01,908330.5889880346,1091092.909443364
2023-05-02,906626.1508162691,1078829.8630227002
2023-05-03,911261.2745863283,1071424.7706694042
2023-05-04,906589.8548961369,1063835.9253480528
2023-05-05,916509.3756448269,1083530.2687537414
2023-05-08,916242.4524684009,1083819.080658177
2023-05-09,910250.0714690257,1079066.1855271899
2023-05-10,915484.7566679618,1084107.972699101
2023-05-11,918103.6651220607,1082217.3125266954
2023-05-12,917867.1416815978,1080799.2973632691
2023-05-15,916446.6325006706,1084528.1283081344
2023-05-16,913476.6223375121,1077280.5842911648
2023-05-17,912656.4648220628,1090357.6571616777
2023-05-18,911836.8749097361,1100861.306978045
2023-05-19,914038.9888344915,1099259.4587100751
2023-05-22,900939.1037292798,1099705.8990873254
2023-05-23,891727.431343044,1087364.0784984988
2023-05-24,889742.0715483298,1079486.3411362232
2023-05-25,884368.1692001487,1088834.583061871
2023-05-26,888058.9989295098,1102935.7201185059
2023-05-29,888305.4511556707,1102935.7201185059
2023-05-30,884710.1975002286,1103355.8757275392
2023-05-31,883717.6762604453,1097237.53496956
2023-06-01,889871.5106232706,1107662.410617764
2023-06-02,896077.4987839916,1123680.492615022
2023-06-05,896334.3265094687,1121527.2251699094
2023-06-06,892099.7552879102,1123969.3045194575
2023-06-07,885372.1871516678,1120082.925238266
2023-06-08,894197.052017033,1126857.8242462561
2023-06-09,894680.8042289271,1128879.7479867712
2023-06-12,896431.9719805531,1139120.7905304315
2023-06-13,896060.5131962444,1146630.941820108
2023-06-14,897001.6757907235,1147996.3874471
2023-06-15,902957.0796772168,1162228.8682083325
2023-06-16,900375.2501850907,1153983.4646369696
2023-06-19,900375.2501850907,1153983.4646369696
2023-06-20,901548.9457049051,1147996.3874471
2023-06-21,902204.3465944992,1142114.3691936105
2023-06-22,911130.6680370816,1146237.070979292
2023-06-23,910426.1135791907,1137571.511798896
2023-06-26,905279.6859072798,1132923.6756042892
2023-06-27,912669.2272396766,1145344.2703612794
2023-06-28,910385.8474363872,1145921.974306639
2023-06-29,912353.392390356,1150438.466796648
2023-06-30,921111.6186091327,1164014.4694443576
2023-07-03,918734.2570263213,1165353.7104396208
2023-07-04,919796.5994136018,1165353.7104396208
2023-07-05,919618.4058527543,1163620.5986035415
2023-07-06,910044.6852978303,1154508.6791823835
2023-07-07,895925.7628397695,1151593.8746873676
2023-07-10,897546.3244535213,1154508.6791823835
2023-07-11,895480.3632720476,1161861.2019992452
2023-07-12,900480.9769246404,1171209.443924893
2023-07-13,912487.1818110943,1180505.1964505946
2023-07-14,917350.4079777368,1179769.9441689085
2023-07-17,910832.164093017,1183866.3611863726
2023-07-18,907826.8222421742,1192663.1839348779
2023-07-19,916273.2516268238,1195315.381157187
2023-07-20,916945.6001775737,1187385.074258477
2023-07-21,923019.6429174317,1187385.074258477
2023-07-24,921837.8541649987,1192689.468703095
2023-07-25,916404.7620737881,1195945.5745024926
2023-07-26,915460.9647771731,1196129.4076070364
2023-07-27,907166.3861819945,1188199.1007083263
2023-07-28,916875.8730961186,1199831.9537836844
2023-07-31,919448.4800347657,1202116.4847969061
